site_name,year,common_name,species_name,total_count
  Mt.Coolum (Yaroomba Bushland Section),2014,  Wallum Froglet,Crinia tinnula,2
  Dulong,2014,  Striped Marsh Frog,  Limnodynastes peronii,5
  Mt.Coolum (Yaroomba Bushland Section),2014,  Green Tree Frog,Pelodryas caerulea,2
  Eerwah Vale,2014,  Green Tree Frog,Pelodryas caerulea,3
  Mt.Coolum (Yaroomba Bushland Section),2014,Eastern Sedge Frog,Drymomantis fallax,9
  Dulong,2014,Eastern Sedge Frog,Drymomantis fallax,3
Mt.Coolum (Yaroomba Bushland Section),2014,Eastern Sedge Frog,Drymomantis fallax,4
  Mt.Coolum (Yaroomba Bushland Section),2014,  Wallum Sedge Frog,Drymomantis olongburensis,2
  Dulong,2014,Stony Creek Frog,Rhyaconastes wilcoxii,10
  Dulong,2014,  Giant Barred Frog,Mixophyes iteratus,3
  Mt.Coolum (Yaroomba Bushland Section),2014,Copper-Backed Brood Frog,Pseudophryne raveni,4
  Mt.Coolum (Yaroomba Bushland Section),2014,Cane Toad,Rhinella marina,2
  Dulong,2014,Cane Toad,Rhinella marina,2
Mt.Coolum (Yaroomba Bushland Section),2014,Cane Toad,Rhinella marina,5
  Eerwah Vale,2015,  Tusked Frog,  Adelotus brevis,4
  Mt.Coolum (Yaroomba Bushland Section),2015,  Wallum Froglet,Crinia tinnula,18
  Dulong,2015,  Striped Marsh Frog,  Limnodynastes peronii,2
Mt.Coolum (Yaroomba Bushland Section),2015,  Striped Marsh Frog,  Limnodynastes peronii,20
  Eerwah Vale,2015,  Green Tree Frog,Pelodryas caerulea,3
  Mt.Coolum (Yaroomba Bushland Section),2015,Eastern Sedge Frog,Drymomantis fallax,15
  Dulong,2015,Eastern Sedge Frog,Drymomantis fallax,5
  Eerwah Vale,2015,Eastern Sedge Frog,Drymomantis fallax,4
Mt.Coolum (Yaroomba Bushland Section),2015,Eastern Sedge Frog,Drymomantis fallax,4
  Eerwah Vale,2015,  Graceful Tree Frog,Chlorohyla gracilenta,3
  Mt.Coolum (Yaroomba Bushland Section),2015,  Wallum Sedge Frog,Drymomantis olongburensis,13
  Eerwah Vale,2015,  Peron's Tree Frog,Pengilleyia peronii,3
  Eerwah Vale,2015,  Tyler's Tree Frog,Pengilleyia tyleri,3
  Eerwah Vale,2015,Stony Creek Frog,Rhyaconastes wilcoxii,24
  Eerwah Vale,2015,  Great Barred Frog,  Mixophyes fasciolatus,2
  Dulong,2015,  Giant Barred Frog,Mixophyes iteratus,3
  Mt.Coolum (Yaroomba Bushland Section),2015,Copper-Backed Brood Frog,Pseudophryne raveni,4
  Eerwah Vale,2015,Cane Toad,Rhinella marina,43
  Dulong,2016,  Tusked Frog,  Adelotus brevis,4
  Mt.Coolum (Yaroomba Bushland Section),2016,  Wallum Froglet,Crinia tinnula,31
  Dulong,2016,  Striped Marsh Frog,  Limnodynastes peronii,2
  Sippy Downs,2016,  Striped Marsh Frog,  Limnodynastes peronii,4
Mt.Coolum (Yaroomba Bushland Section),2016,  Striped Marsh Frog,  Limnodynastes peronii,8
  Eerwah Vale,2016,  Robust Bleating Tree Frog,  Litoria dentata,3
  Mt.Coolum (Yaroomba Bushland Section),2016,Eastern Sedge Frog,Drymomantis fallax,4
  Dulong,2016,Eastern Sedge Frog,Drymomantis fallax,7
  Eerwah Vale,2016,Eastern Sedge Frog,Drymomantis fallax,7
  Sippy Downs,2016,Eastern Sedge Frog,Drymomantis fallax,49
Mt.Coolum (Yaroomba Bushland Section),2016,Eastern Sedge Frog,Drymomantis fallax,5
Mt.Coolum (Yaroomba Bushland Section),2016,Eastern Sedge Frog,Drymomantis fallax,2
  Mt.Coolum (Yaroomba Bushland Section),2016,  Graceful Tree Frog,Chlorohyla gracilenta,2
Mt.Coolum (Yaroomba Bushland Section),2016,  Graceful Tree Frog,Chlorohyla gracilenta,6
  Mt.Coolum (Yaroomba Bushland Section),2016,  Wallum Sedge Frog,Drymomantis olongburensis,7
  Eerwah Vale,2016,  Peron's Tree Frog,Pengilleyia peronii,3
  Eerwah Vale,2016,  Tyler's Tree Frog,Pengilleyia tyleri,8
  Dulong,2016,Stony Creek Frog,Rhyaconastes wilcoxii,3
  Eerwah Vale,2016,Stony Creek Frog,Rhyaconastes wilcoxii,2
  Dulong,2016,  Giant Barred Frog,Mixophyes iteratus,12
  Mt.Coolum (Yaroomba Bushland Section),2016,Copper-Backed Brood Frog,Pseudophryne raveni,4
  Mt.Coolum (Yaroomba Bushland Section),2016,Cane Toad,Rhinella marina,2
  Eerwah Vale,2016,Cane Toad,Rhinella marina,85
  Sippy Downs,2016,Cane Toad,Rhinella marina,86
Mt.Coolum (Yaroomba Bushland Section),2016,Cane Toad,Rhinella marina,29
  Dulong,2017,  Tusked Frog,  Adelotus brevis,2
  Mt.Coolum (Yaroomba Bushland Section),2017,  Wallum Froglet,Crinia tinnula,14
Mt.Coolum (Yaroomba Bushland Section),2017,  Striped Marsh Frog,  Limnodynastes peronii,6
Mt.Coolum (Yaroomba Bushland Section),2017,  Superb Banjo Frog,  Limnodynastes terraereginae,2
  Mt.Coolum (Yaroomba Bushland Section),2017,Eastern Sedge Frog,Drymomantis fallax,6
  Dulong,2017,Eastern Sedge Frog,Drymomantis fallax,6
  Eerwah Vale,2017,Eastern Sedge Frog,Drymomantis fallax,17
Mt.Coolum (Yaroomba Bushland Section),2017,Eastern Sedge Frog,Drymomantis fallax,2
Mt.Coolum (Yaroomba Bushland Section),2017,Eastern Sedge Frog,Drymomantis fallax,2
  Mt.Coolum (Yaroomba Bushland Section),2017,  Graceful Tree Frog,Chlorohyla gracilenta,2
  Dulong,2017,  Graceful Tree Frog,Chlorohyla gracilenta,3
  Eerwah Vale,2017,  Graceful Tree Frog,Chlorohyla gracilenta,2
  Eerwah Vale,2017,Striped Rocket frog,Litoria nasuta,2
  Mt.Coolum (Yaroomba Bushland Section),2017,  Wallum Sedge Frog,Drymomantis olongburensis,4
  Dulong,2017,Stony Creek Frog,Rhyaconastes wilcoxii,11
  Eerwah Vale,2017,Stony Creek Frog,Rhyaconastes wilcoxii,4
  Eerwah Vale,2017,Stony Creek Frog,Rhyaconastes wilcoxii,3
  Mt.Coolum (Yaroomba Bushland Section),2017,Copper-Backed Brood Frog,Pseudophryne raveni,3
  Mt.Coolum (Yaroomba Bushland Section),2017,Cane Toad,Rhinella marina,4
  Eerwah Vale,2017,Cane Toad,Rhinella marina,119
Mt.Coolum (Yaroomba Bushland Section),2017,Cane Toad,Rhinella marina,23
  Dulong,2018,  Tusked Frog,  Adelotus brevis,2
  Mt.Coolum (Yaroomba Bushland Section),2018,  Wallum Froglet,Crinia tinnula,9
  Mt.Coolum (Yaroomba Bushland Section),2018,  Striped Marsh Frog,  Limnodynastes peronii,8
  Eerwah Vale,2018,  Striped Marsh Frog,  Limnodynastes peronii,7
  Sippy Downs,2018,  Striped Marsh Frog,  Limnodynastes peronii,25
  Eerwah Vale,2018,  Green Tree Frog,Pelodryas caerulea,2
  Mt.Coolum (Yaroomba Bushland Section),2018,Eastern Sedge Frog,Drymomantis fallax,7
  Dulong,2018,Eastern Sedge Frog,Drymomantis fallax,4
  Eerwah Vale,2018,Eastern Sedge Frog,Drymomantis fallax,21
  Sippy Downs,2018,Eastern Sedge Frog,Drymomantis fallax,41
Mt.Coolum (Yaroomba Bushland Section),2018,Eastern Sedge Frog,Drymomantis fallax,15
  Mt.Coolum (Yaroomba Bushland Section),2018,  Graceful Tree Frog,Chlorohyla gracilenta,20
  Dulong,2018,  Graceful Tree Frog,Chlorohyla gracilenta,2
